age,person,minutes
77,partner,272.73013
77,coworkers,12.47935
78,alone,461.63959
78,friends,39.297825
78,children,42.985035
78,parents,59.704296
78,partner,256.41376
78,coworkers,3.2494414
79,alone,485.83075
79,friends,41.975792
79,children,38.609028
79,parents,51.944447
79,partner,235.3701
79,coworkers,4.5325632
80,alone,476.76736
80,friends,35.589745
80,children,45.010258
80,parents,66.100365
80,partner,227.04634
80,coworkers,5.2152042
